Group_1,Group_2,Metric,EER
CR Bonafide,CR Spoof,duration_s,0.3504464285714286
CR Bonafide,CR Spoof,speech_length_s,0.3504464285714286
CR Bonafide,CR Spoof,leading_silence_s,0.7165178571428572
CR Bonafide,CR Spoof,trailing_silence_s,0.6004464285714286
CR Bonafide,CR Spoof,voiced_frames,0.3995535714285714
CR Bonafide,CR Spoof,unvoiced_frames,0.3504464285714286
CR Bonafide,CR Spoof,voiced_unvoiced_ratio,0.46651785714285715
CR Bonafide,CR Spoof,rms_first_100ms,0.46651785714285715
CR Bonafide,CR Spoof,rmse_mean,0.5
CR Bonafide,CR Spoof,rmse_amplitude,0.4330357142857143
CR Bonafide,CW Bonafide,duration_s,0.10357142857142856
CR Bonafide,CW Bonafide,speech_length_s,0.10357142857142856
CR Bonafide,CW Bonafide,leading_silence_s,0.7071428571428571
CR Bonafide,CW Bonafide,trailing_silence_s,0.7928571428571429
CR Bonafide,CW Bonafide,voiced_frames,0.2928571428571428
CR Bonafide,CW Bonafide,unvoiced_frames,0.275
CR Bonafide,CW Bonafide,voiced_unvoiced_ratio,0.39642857142857146
CR Bonafide,CW Bonafide,rms_first_100ms,0.39642857142857146
CR Bonafide,CW Bonafide,rmse_mean,0.5
CR Bonafide,CW Bonafide,rmse_amplitude,0.39642857142857146
CR Bonafide,CW Spoof,duration_s,0.39642857142857146
CR Bonafide,CW Spoof,speech_length_s,0.41428571428571426
CR Bonafide,CW Spoof,leading_silence_s,0.7071428571428571
CR Bonafide,CW Spoof,trailing_silence_s,0.7928571428571429
CR Bonafide,CW Spoof,voiced_frames,0.41428571428571426
CR Bonafide,CW Spoof,unvoiced_frames,0.37857142857142856
CR Bonafide,CW Spoof,voiced_unvoiced_ratio,0.48214285714285715
CR Bonafide,CW Spoof,rms_first_100ms,0.5
CR Bonafide,CW Spoof,rmse_mean,0.39642857142857146
CR Bonafide,CW Spoof,rmse_amplitude,0.3107142857142857
CR Bonafide,Mid-Correct Bonafide,duration_s,0.20714285714285713
CR Bonafide,Mid-Correct Bonafide,speech_length_s,0.20714285714285713
CR Bonafide,Mid-Correct Bonafide,leading_silence_s,0.225
CR Bonafide,Mid-Correct Bonafide,trailing_silence_s,0.39642857142857146
CR Bonafide,Mid-Correct Bonafide,voiced_frames,0.37857142857142856
CR Bonafide,Mid-Correct Bonafide,unvoiced_frames,0.39642857142857146
CR Bonafide,Mid-Correct Bonafide,voiced_unvoiced_ratio,0.41428571428571426
CR Bonafide,Mid-Correct Bonafide,rms_first_100ms,0.39642857142857146
CR Bonafide,Mid-Correct Bonafide,rmse_mean,0.39642857142857146
CR Bonafide,Mid-Correct Bonafide,rmse_amplitude,0.24285714285714285
CR Bonafide,Mid-Correct Spoof,duration_s,0.225
CR Bonafide,Mid-Correct Spoof,speech_length_s,0.20714285714285713
CR Bonafide,Mid-Correct Spoof,leading_silence_s,0.6035714285714285
CR Bonafide,Mid-Correct Spoof,trailing_silence_s,0.6035714285714285
CR Bonafide,Mid-Correct Spoof,voiced_frames,0.20714285714285713
CR Bonafide,Mid-Correct Spoof,unvoiced_frames,0.37857142857142856
CR Bonafide,Mid-Correct Spoof,voiced_unvoiced_ratio,0.24285714285714285
CR Bonafide,Mid-Correct Spoof,rms_first_100ms,0.39642857142857146
CR Bonafide,Mid-Correct Spoof,rmse_mean,0.41428571428571426
CR Bonafide,Mid-Correct Spoof,rmse_amplitude,0.225
CR Bonafide,Mid-Wrong Bonafide,duration_s,0.39642857142857146
CR Bonafide,Mid-Wrong Bonafide,speech_length_s,0.41428571428571426
CR Bonafide,Mid-Wrong Bonafide,leading_silence_s,0.5857142857142856
CR Bonafide,Mid-Wrong Bonafide,trailing_silence_s,0.6214285714285714
CR Bonafide,Mid-Wrong Bonafide,voiced_frames,0.39642857142857146
CR Bonafide,Mid-Wrong Bonafide,unvoiced_frames,0.39642857142857146
CR Bonafide,Mid-Wrong Bonafide,voiced_unvoiced_ratio,0.39642857142857146
CR Bonafide,Mid-Wrong Bonafide,rms_first_100ms,0.37857142857142856
CR Bonafide,Mid-Wrong Bonafide,rmse_mean,0.41428571428571426
CR Bonafide,Mid-Wrong Bonafide,rmse_amplitude,0.41428571428571426
CR Bonafide,Mid-Wrong Spoof,duration_s,0.43214285714285716
CR Bonafide,Mid-Wrong Spoof,speech_length_s,0.41428571428571426
CR Bonafide,Mid-Wrong Spoof,leading_silence_s,0.5857142857142856
CR Bonafide,Mid-Wrong Spoof,trailing_silence_s,0.6035714285714285
CR Bonafide,Mid-Wrong Spoof,voiced_frames,0.39642857142857146
CR Bonafide,Mid-Wrong Spoof,unvoiced_frames,0.39642857142857146
CR Bonafide,Mid-Wrong Spoof,voiced_unvoiced_ratio,0.39642857142857146
CR Bonafide,Mid-Wrong Spoof,rms_first_100ms,0.39642857142857146
CR Bonafide,Mid-Wrong Spoof,rmse_mean,0.39642857142857146
CR Bonafide,Mid-Wrong Spoof,rmse_amplitude,0.39642857142857146
CR Bonafide,Worst-Scored Spoof,duration_s,0.06696428571428571
CR Bonafide,Worst-Scored Spoof,speech_length_s,0.06696428571428571
CR Bonafide,Worst-Scored Spoof,leading_silence_s,0.6495535714285714
CR Bonafide,Worst-Scored Spoof,trailing_silence_s,0.6004464285714286
CR Bonafide,Worst-Scored Spoof,voiced_frames,0.25
CR Bonafide,Worst-Scored Spoof,unvoiced_frames,0.14955357142857142
CR Bonafide,Worst-Scored Spoof,voiced_unvoiced_ratio,0.3660714285714286
CR Bonafide,Worst-Scored Spoof,rms_first_100ms,0.5
CR Bonafide,Worst-Scored Spoof,rmse_mean,0.5
CR Bonafide,Worst-Scored Spoof,rmse_amplitude,0.4330357142857143
CR Spoof,CW Bonafide,duration_s,0.30625
CR Spoof,CW Bonafide,speech_length_s,0.30625
CR Spoof,CW Bonafide,leading_silence_s,0.790625
CR Spoof,CW Bonafide,trailing_silence_s,0.596875
CR Spoof,CW Bonafide,voiced_frames,0.403125
CR Spoof,CW Bonafide,unvoiced_frames,0.403125
CR Spoof,CW Bonafide,voiced_unvoiced_ratio,0.5
CR Spoof,CW Bonafide,rms_first_100ms,0.3875
CR Spoof,CW Bonafide,rmse_mean,0.5
CR Spoof,CW Bonafide,rmse_amplitude,0.403125
CR Spoof,CW Spoof,duration_s,0.290625
CR Spoof,CW Spoof,speech_length_s,0.275
CR Spoof,CW Spoof,leading_silence_s,0.69375
CR Spoof,CW Spoof,trailing_silence_s,0.596875
CR Spoof,CW Spoof,voiced_frames,0.403125
CR Spoof,CW Spoof,unvoiced_frames,0.19375
CR Spoof,CW Spoof,voiced_unvoiced_ratio,0.30625
CR Spoof,CW Spoof,rms_first_100ms,0.5
CR Spoof,CW Spoof,rmse_mean,0.41875
CR Spoof,CW Spoof,rmse_amplitude,0.5
CR Spoof,Mid-Correct Bonafide,duration_s,0.403125
CR Spoof,Mid-Correct Bonafide,speech_length_s,0.403125
CR Spoof,Mid-Correct Bonafide,leading_silence_s,0.19375
CR Spoof,Mid-Correct Bonafide,trailing_silence_s,0.403125
CR Spoof,Mid-Correct Bonafide,voiced_frames,0.55
CR Spoof,Mid-Correct Bonafide,unvoiced_frames,0.41875
CR Spoof,Mid-Correct Bonafide,voiced_unvoiced_ratio,0.403125
CR Spoof,Mid-Correct Bonafide,rms_first_100ms,0.403125
CR Spoof,Mid-Correct Bonafide,rmse_mean,0.403125
